id,name
8d535ad0-be3c-4c18-9749-464fb4eec820,Food
e75beda1-b524-4d37-91b8-e359c054177a,Closing
ba051fc3-47d2-4365-8646-fd2d7bad86a0,Health
f31f916f-2193-4ffd-a2d1-8f7b487f7981,Housing
2396988f-af23-4a94-bec4-48c404efb7e4,Car
aed5bc13-c726-429a-9018-6a300c1943a6,Transportation
50147bc5-1642-4ac2-aded-1acac10e4530,Phone
fe2f4a22-1021-41fe-82e1-527b7fc405cd,Electronics
9d7fa9d0-d900-4608-95d3-e3f369430875,Education
50ae541f-1a9b-448e-b508-23ccbb54ac74,Beauty
9ba4cb5c-a6cc-4c3f-9f58-b634ff54ae52,Sports
e87c8a7c-0622-4245-9ee6-56c49911d3cc,Restaurants
bccb8b4a-2499-4945-a6da-4c6fe498fe5c,Travel
af77c384-f201-47f6-9e9b-05503851407d,Pets
577371e1-6807-4643-9dba-2784773ab781,Repairs
57aca9b7-7465-4038-a296-2ef309df31ab,Donations
35ac7944-47da-4121-8666-6e92b4f3ec73,Gifts
4698d29c-e738-43d6-8789-1d526ae1c984,Lottery